Artist,Song,Year,album_id,Album,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Genres
Cassie,Me & U,2006,0j1qzjaJmsF1FkcICf3hRu,Cassie (U.S. Version),2006-08-07,0.803,0.454,8,-4.802,0,0.0294,0.352,0.0,0.0655,0.739,99.99,192213,4,"['dance pop', 'hip pop', 'pop rap', 'r&b', 'urban contemporary']"
The Pussycat Dolls Featuring Snoop Dogg,Buttons,2006,0muUiiPAwdoRZA3cDUxef7,Buttons,2006-01-01,0.524,0.809,2,-4.787,1,0.335,0.185,0.0,0.345,0.532,210.893,231293,4,['indorock']
Chris Brown,Run It!,2006,49gaz5rhWWgqCw61M9700v,Chris Brown (Expanded Edition),2005,0.846,0.482,1,-6.721,0,0.129,0.0246,0.0,0.393,0.212,100.969,229867,4,"['r&b', 'rap']"
Ne-Yo,So Sick,2006,6gkwOLmk0ALMOjWs5WhAEr,In My Own Words,2006-01-01,0.452,0.574,6,-8.336,1,0.31,0.246,0.0,0.189,0.58,92.791,207187,4,"['dance pop', 'pop', 'r&b', 'urban contemporary']"
Yung Joc,It's Goin' Down,2006,1Lr1TMh8vcdD3OvrzQTGVn,New Joc City,2006-06-06,0.888,0.577,1,-7.702,0,0.0612,0.0986,0.0,0.131,0.609,84.003,241840,4,"['atl hip hop', 'crunk', 'dirty south rap', 'southern hip hop', 'trap']"
Rihanna,SOS,2006,2JdjS6jjOml7nt7Yjo0nnh,A Girl Like Me,2006-04-10,0.677,0.671,7,-4.905,1,0.0361,0.004,5.07e-05,0.413,0.527,137.046,238920,4,"['barbadian pop', 'pop', 'urban contemporary']"
Panic! At The Disco,I Write Sins Not Tragedies,2006,2YeOhhJg3OWpN0F1VYPxtW,A Fever You Can't Sweat Out,2005-09-27,0.569,0.83,9,-4.106,0,0.14,0.0807,0.0,0.114,0.609,170.094,186635,4,"['modern rock', 'pop']"
The All-American Rejects,Move Along,2006,3PWEGZ6CYvXRnr0JCECsDe,Move Along,2005-01-01,0.518,0.916,3,-3.858,1,0.0454,0.000148,0.0,0.291,0.646,109.864,238880,4,"['alternative metal', 'modern rock', 'neo mellow', 'neon pop punk', 'pop punk', 'pop rock', 'post-grunge']"
Fergie,London Bridge,2006,3t8HFQNlwLBW7htwLvFfzA,The Dutchess,2006-09-13,0.77,0.609,1,-5.894,1,0.345,0.214,0.0,0.166,0.631,90.952,241307,4,"['dance pop', 'pop']"
Red Hot Chili Peppers,Dani California,2006,7xl50xr9NDkd3i2kBbzsNZ,Stadium Arcadium,2006-05-09,0.556,0.913,0,-2.36,1,0.0437,0.0193,8.59e-06,0.346,0.73,96.184,282160,4,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'rock']"
Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ,Snap Yo Fingers,2006,5ot3hAGLgvrmfZ3ddosFZf,Snap Yo Fingers - Single,2006-05-02,0.835,0.757,8,-5.029,0,0.23,0.00647,0.0,0.29,0.626,82.038,274387,4,"['atl hip hop', 'crunk', 'dance pop', 'dirty south rap', 'old school atlanta hip hop', 'pop rap', 'southern hip hop', 'trap']"
Dem Franchize Boyz Featuring Lil Peanut & Charlay,"Lean Wit It, Rock Wit It",2006,0e0ks1xlvQBOsC3Gsw2EgA,On Top Of Our Game,2006-01-01,0.886,0.62,5,-5.854,1,0.307,0.082,0.0,0.1,0.6,76.035,229813,4,
Rascal Flatts,What Hurts The Most,2006,5XPdkIryKSpTKW21HUtvV0,Me And My Gang,2006-01-01,0.537,0.674,5,-5.134,0,0.0277,0.0088,0.0,0.265,0.33,136.002,214107,4,"['contemporary country', 'country', 'country road']"
The Fray,How To Save A Life,2006,1IM3GwptCGYjRkzCBolyFK,How To Save A Life,2005-09-13,0.64,0.743,10,-4.08,1,0.0379,0.269,0.0,0.101,0.361,122.035,262533,4,"['neo mellow', 'piano rock', 'pop', 'pop rock']"
Rihanna,Unfaithful,2006,2JdjS6jjOml7nt7Yjo0nnh,A Girl Like Me,2006-04-10,0.588,0.391,0,-8.607,0,0.0334,0.839,0.0,0.227,0.349,144.069,226973,4,"['barbadian pop', 'pop', 'urban contemporary']"
Snow Patrol,Chasing Cars,2006,3k7bXPw2u0C0SBKPMsgMS3,Eyes Open,2006-01-01,0.56,0.595,9,-4.53,1,0.0274,0.199,6.47e-05,0.132,0.144,104.011,267960,4,"['irish rock', 'modern rock', 'neo mellow', 'permanent wave', 'pop rock']"
Hinder,Lips Of An Angel,2006,2SmDuZSWtjukp9gkG2mcBQ,Extreme Behavior,2005-01-01,0.476,0.736,2,-5.38,1,0.0343,0.0217,1.08e-06,0.203,0.251,129.084,261853,4,"['alternative metal', 'nu metal', 'post-grunge']"
Cascada,Everytime We Touch,2006,2unbJ7dUr9mITQiMwWFqQD,Everytime We Touch (Premium Edition),2010-02-12,0.633,0.976,8,-5.362,1,0.0519,0.00281,1.29e-05,0.382,0.493,142.027,197124,4,"['eurodance', 'europop', 'german techno', 'melbourne bounce international']"
Christina Aguilera,Ain't No Other Man,2006,0zRJsgzHZUUdk8Rjk6Segd,Back To Basics,2006-08-14,0.862,0.742,7,-4.722,1,0.222,0.00376,0.00855,0.103,0.511,127.91,228907,4,"['dance pop', 'pop']"
Fall Out Boy,"Dance, Dance",2006,5nkUSlIhtoJZMOUlB0sNCp,From Under The Cork Tree,2005-05-03,0.622,0.961,11,-3.198,0,0.154,0.00523,0.0,0.0854,0.449,114.452,180267,4,"['emo', 'modern rock', 'pop', 'rock']"
Kanye West Featuring Jamie Foxx,Gold Digger,2006,1D5Gb3N3AuPxISyHz3MyMz,Drew's Famous # 1 Karaoke Hits: Sing like Animated Pop Stars,2011-09-06,0.776,0.577,6,-6.465,0,0.294,0.000271,2.22e-05,0.154,0.654,184.914,227013,4,"['contemporary r&b', 'hip pop', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']"
Ludacris Featuring Pharrell,Money Maker,2006,77u9Ndnhi4raBZfnl22Jzg,Release Therapy,2006-01-01,0.551,0.598,1,-6.79,1,0.27,0.15,0.0,0.299,0.612,78.756,230613,4,"['dance pop', 'pop']"
Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark,Ms. New Booty,2006,6Nu5K9Mpb5qYi1e7DGESse,Ms. New Booty,2005-01-01,0.64,0.62,1,-5.931,1,0.416,0.016,0.0,0.0831,0.609,129.37,252653,5,"['atl hip hop', 'crunk', 'dirty south rap', 'old school atlanta hip hop', 'southern hip hop']"
Sean Paul Featuring Keyshia Cole,(When You Gonna) Give It Up To Me,2006,4LqKKEC8ghEvbMW2xcs4eZ,Only Hits,2006-11-07,0.711,0.761,8,-3.04,1,0.225,0.067,0.0,0.041,0.718,95.824,243880,4,"['dance pop', 'dancehall', 'pop', 'pop rap']"
Nickelback,Photograph,2006,3eZd2XbhLyPcgbgcsLTZh3,All the Right Reasons,2005-09-26,0.515,0.876,8,-3.756,1,0.0292,0.000932,0.000166,0.136,0.385,145.916,258920,4,"['alternative metal', 'canadian rock', 'post-grunge']"
Kelly Clarkson,Because Of You,2006,5gDAEao3VxFdbm8vS0koQq,Breakaway,2004-01-17,0.583,0.584,5,-5.362,0,0.0314,0.254,0.0,0.123,0.136,140.039,219493,4,"['dance pop', 'pop', 'talent show']"
The Pussycat Dolls,Stickwitu,2006,5x8e8UcCeOgrOzSnDGuPye,PCD,2005-01-01,0.655,0.54,9,-6.482,1,0.0516,0.268,0.0,0.068,0.43,79.983,207507,4,"['dance pop', 'girl group', 'pop']"
T-Pain Featuring Mike Jones,I'm N Luv (Wit A Stripper),2006,21dqbZplVbX1gMMdqOLvWI,Rappa Ternt Sanga (Expanded Edition),2005-12-06,0.739,0.368,8,-10.233,1,0.0845,0.00542,0.0,0.171,0.467,144.992,239413,4,['album rock']
The Black Eyed Peas,My Humps,2006,2szeSQtOcJgRhDXmTS3SIf,Monkey Business,2005-01-01,0.801,0.682,1,-5.919,0,0.225,0.111,1.56e-05,0.109,0.586,123.95,326960,4,"['dance pop', 'pop', 'pop rap']"
Fort Minor Featuring Holly Brook,Where'd You Go,2006,5v4Vx9loqMQCS3J7OmP9pa,The Rising Tied,2005-11-21,0.684,0.819,1,-3.309,0,0.238,0.262,0.00197,0.113,0.25,179.999,231867,4,[]
Chris Brown,Yo (Excuse Me Miss),2006,49gaz5rhWWgqCw61M9700v,Chris Brown (Expanded Edition),2005,0.536,0.612,4,-5.847,1,0.272,0.119,0.0,0.209,0.57,86.768,229040,4,"['r&b', 'rap']"
Kelly Clarkson,Walk Away,2006,5gDAEao3VxFdbm8vS0koQq,Breakaway,2004-01-17,0.75,0.888,0,-4.524,1,0.0426,0.0147,1.11e-06,0.0759,0.935,115.973,189307,4,"['dance pop', 'pop', 'talent show']"
D4L,Laffy Taffy,2006,5PE3OnyEPOlTShpjij8Wfp,Down for Life,2005-11-08,0.891,0.439,7,-7.994,0,0.428,0.0351,0.0,0.0932,0.622,77.499,224253,4,"['atl hip hop', 'crunk', 'dirty south rap', 'old school atlanta hip hop', 'southern hip hop']"
T.I.,What You Know,2006,2X7s6Gt8Xz2qEwlw4GVcQo,King,2006-03-26,0.551,0.81,11,-4.365,1,0.0344,0.0155,0.0,0.169,0.332,73.464,274333,4,"['atl hip hop', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
The All-American Rejects,Dirty Little Secret,2006,3PWEGZ6CYvXRnr0JCECsDe,Move Along,2005-01-01,0.465,0.954,10,-4.251,1,0.044,0.000346,5.38e-06,0.573,0.458,143.85,193653,4,"['alternative metal', 'modern rock', 'neo mellow', 'neon pop punk', 'pop punk', 'pop rock', 'post-grunge']"
Nickelback,Savin' Me,2006,3MNvfg19MJsXCQ0I3WVdkm,All The Right Reasons (15th Anniversary Expanded Edition),2005,0.442,0.805,3,-4.091,1,0.027,0.000606,0.0,0.402,0.558,164.029,219293,4,"['alternative metal', 'canadian rock', 'post-grunge']"
Mariah Carey,Don't Forget About Us,2006,7MMpjM0wynysTbhpvKjHrm,The Emancipation Of Mimi (Ultra Platinum Edition),2005-04-12,0.699,0.543,10,-6.859,0,0.0383,0.0457,0.0,0.1,0.431,143.635,233867,4,"['dance pop', 'pop', 'urban contemporary']"
Ne-Yo,Sexy Love,2006,6gkwOLmk0ALMOjWs5WhAEr,In My Own Words,2006-01-01,0.693,0.516,8,-6.446,1,0.0413,0.297,0.000127,0.0604,0.494,94.02,220853,4,"['dance pop', 'pop', 'r&b', 'urban contemporary']"
E-40 Featuring T-Pain & Kandi Girl,U And Dat,2006,7lXlZIEo0PGPo6LbCDsvs1,Painting Happiness with Handel Music,2014-10-31,0.252,0.0694,5,-19.202,1,0.0388,0.992,0.796,0.108,0.0965,106.763,302368,4,[]
Nickelback,Far Away,2006,3eZd2XbhLyPcgbgcsLTZh3,All the Right Reasons,2005-09-26,0.518,0.797,6,-5.153,1,0.0309,0.000681,0.0,0.107,0.293,132.918,238173,4,"['alternative metal', 'canadian rock', 'post-grunge']"
Nick Lachey,What's Left Of Me,2006,0fBnFYNzbSXrXs6bRfZ7La,What's Left Of Me,2006-01-01,0.421,0.728,7,-5.644,1,0.035,0.136,0.0,0.136,0.311,150.12,244667,4,"['idol', 'post-teen pop']"
Field Mob Featuring Ciara,So What,2006,4ZIvx3lm0ytWm06bH8DAwR,Light Poles And Pine Trees,2006-01-01,0.931,0.486,6,-10.558,1,0.139,0.0579,0.0,0.161,0.896,120.026,216000,4,"['dance pop', 'hip pop', 'pop', 'r&b', 'urban contemporary']"
Cherish Featuring Sean Paul Of The YoungBloodZ,Do It To It,2006,2nHx69FlthuA68GBIjjXuP,Do It To It (Sub Focus Remix),2022-04-01,0.599,0.977,7,-0.552,1,0.0687,0.00704,0.827,0.582,0.108,173.959,194483,4,[]
KT Tunstall,Black Horse & The Cherry Tree,2006,3j70PDKieTWQAwas3bPHRZ,Eye To The Telescope,2005-01-01,0.748,0.786,4,-7.788,0,0.0641,0.328,0.0,0.34,0.917,104.833,172373,4,"['ectofolk', 'lilith', 'neo mellow', 'pop rock', 'scottish singer-songwriter']"
Juelz Santana,There It Go! (The Whistle Song),2006,1UnAHcFabsZQnZbPQRuwq8,What The Game's Been Missing!,2005-01-01,0.942,0.892,6,-6.363,0,0.196,0.023,0.000897,0.264,0.595,100.007,180493,4,"['gangster rap', 'harlem hip hop', 'hip pop', 'nyc rap', 'pop rap', 'trap']"
Young Dro Featuring T.I.,Shoulder Lean,2006,4UZzO6rBo6wjM2zfuRgd3r,Best Thang Smokin' (Explicit Version),2006-06-27,0.7,0.518,4,-7.191,0,0.177,0.0471,0.0,0.1,0.542,75.973,258680,4,"['atl hip hop', 'crunk', 'dirty south rap', 'futuristic swag', 'old school atlanta hip hop', 'southern hip hop', 'trap']"
Jamie Foxx Featuring Ludacris,Unpredictable,2006,045D1HbNHv4R31D9vkL8Ve,Unpredictable,2005-12-20,0.734,0.599,9,-8.462,1,0.197,0.206,0.0,0.0555,0.772,145.185,219867,4,"['contemporary r&b', 'hip pop', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']"
Justin Timberlake Featuring T.I.,My Love,2006,0QhwxYDUougJiVDtyN4Lhm,"R&B - 100 Hits - The Greatest R n B album - 100 R & B Classics featuring Usher, Pitbull and Justin Timberlake",2013-06-24,0.684,0.616,11,-6.99,0,0.0361,0.0627,6.6e-05,0.107,0.816,94.018,266000,4,"['country rap', 'redneck']"
Eminem Featuring Nate Dogg,Shake That,2006,5qENHeCSlwWpEzb25peRmQ,Curtain Call: The Hits (Deluxe Edition),2005-12-06,0.963,0.643,1,-5.785,0,0.117,0.0507,4.94e-05,0.157,0.534,107.005,274440,4,"['g funk', 'gangster rap', 'hardcore hip hop', 'hip hop', 'west coast rap']"
Chingy Featuring Tyrese,Pullin' Me Back,2006,4km17Fy3fRGG4PEHQ4Fcta,Hoodstar (Deluxe Edition),2006-01-01,0.786,0.511,7,-6.66,1,0.286,0.0825,0.0,0.12,0.587,80.0,234133,4,"['contemporary r&b', 'hip pop', 'r&b', 'urban contemporary']"
Kelis Featuring Too $hort,Bossy,2006,4WJoghWxyWEYtVNDn1eFYl,Kelis Was Here,2006-08-22,0.906,0.624,4,-5.556,1,0.179,0.000185,6.21e-06,0.0608,0.775,84.009,274947,4,"['cali rap', 'gangster rap', 'golden age hip hop', 'hyphy', 'oakland hip hop', 'west coast rap']"
Jibbs,Chain Hang Low,2006,75SYfAVNuZcY0488LhZeic,Jibbs feat. Jibbs,2006-01-01,0.792,0.589,4,-6.869,0,0.262,0.0259,0.000128,0.114,0.778,157.147,207587,4,['dirty south rap']
Akon Featuring Eminem,Smack That,2006,3h9okEGE4i7nrPyjeVVqQ9,Drew's Famous # 1 Karaoke Hits: Sing the Hits of 2006,2011-08-16,0.901,0.467,5,-12.892,0,0.078,0.0376,0.0236,0.347,0.952,119.008,230436,4,['dance pop']
Ray J,One Wish,2006,6ZLE8nIut6t3CXt1dIpSh6,Raydiation,2005-09-05,0.529,0.651,5,-7.061,0,0.282,0.281,0.0,0.339,0.592,127.03,337640,4,"['pop rap', 'urban contemporary']"
Fall Out Boy,"Sugar, We're Goin' Down",2006,5nkUSlIhtoJZMOUlB0sNCp,From Under The Cork Tree,2005-05-03,0.494,0.842,7,-4.784,1,0.0843,0.00579,0.0,0.122,0.574,162.011,229093,4,"['emo', 'modern rock', 'pop', 'rock']"
Chris Brown Featuring Lil Wayne,Gimme That,2006,49gaz5rhWWgqCw61M9700v,Chris Brown (Expanded Edition),2005,0.513,0.606,6,-5.757,1,0.148,0.0531,0.0,0.112,0.455,116.186,237360,5,"['r&b', 'rap']"
Yung Joc Featuring Brandy 'Ms. B.' Hambrick,I Know You See It,2006,1Lr1TMh8vcdD3OvrzQTGVn,New Joc City,2006-06-06,0.744,0.368,1,-6.349,1,0.0524,0.0702,0.0,0.192,0.391,84.018,241307,4,"['atl hip hop', 'crunk', 'dirty south rap', 'southern hip hop', 'trap']"
Bon Jovi,Who Says You Can't Go Home,2006,3VfBy3QX5peTfME0UxzZ2P,Have A Nice Day,2005-01-01,0.537,0.885,7,-3.641,1,0.0343,0.0437,0.0,0.274,0.802,131.698,230280,4,"['glam metal', 'rock']"
JoJo,Too Little Too Late,2006,3ym3JtyhWmVIJzEzTCCsHa,The High Road,2006-10-17,0.421,0.799,6,-5.183,0,0.0562,0.00871,1.63e-05,0.0794,0.731,82.408,221720,4,['movie tunes']
Busta Rhymes,Touch It,2006,3lT0XTcteJfBbPNoPAmNRq,The Big Bang,2006-01-01,0.658,0.551,1,-6.62,1,0.37,0.0043,0.000108,0.197,0.442,138.335,214960,5,"['east coast hip hop', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap']"
Daddy Yankee,Rompe,2006,2rNUIqPFIbq5bSH46jHUZy,Barrio Fino En Directo,2005-01-01,0.696,0.858,9,-5.155,1,0.0859,0.0727,3.19e-06,0.0631,0.533,176.061,188627,4,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']"
Beyonce Featuring Jay Z,Deja Vu,2006,79lnkjbWFoiLjbzkeWMO6G,2000s Divas Karaoke Volume 7,2010-03-03,0.822,0.562,7,-7.517,1,0.0834,0.0488,0.872,0.299,0.287,106.035,249453,4,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap']"
Rascal Flatts,Life Is A Highway,2006,5XPdkIryKSpTKW21HUtvV0,Me And My Gang,2006-01-01,0.582,0.952,5,-3.848,1,0.0731,0.00324,0.0,0.223,0.655,103.027,276320,4,"['contemporary country', 'country', 'country road']"
Evanescence,Call Me When You're Sober,2006,3lFQ9ihSNR5YD0yi0yTzdC,The Open Door,2006-01-01,0.45,0.883,7,-4.094,1,0.0524,0.00193,0.0,0.293,0.328,93.41,214707,4,['alternative metal']
Carrie Underwood,"Jesus, Take The Wheel",2006,0kys2jaKAiDPfNBd4z7LAg,Some Hearts,2005-11-14,0.359,0.518,2,-3.537,1,0.0302,0.665,0.0,0.106,0.135,76.572,226493,4,"['classic oklahoma country', 'contemporary country', 'country', 'country dawn', 'dance pop', 'pop']"
Danity Kane,Show Stopper,2006,7KD97Fr5oLwKPabOBdIMiV,Danity Kane,2006-08-22,0.755,0.408,5,-10.33,0,0.187,0.0133,0.0,0.33,0.465,76.034,229240,4,"['dance pop', 'girl group', 'hip pop', 'r&b', 'urban contemporary']"
Ciara Featuring Chamillionaire,Get Up,2006,0hfJ35SzCkWesdUpLKXLto,The Evolution,2006,0.964,0.595,1,-6.887,0,0.109,0.0248,5.14e-06,0.0405,0.629,128.593,261880,4,"['dance pop', 'hip pop', 'pop', 'r&b', 'urban contemporary']"
Sean Paul,We Be Burnin',2006,32Bu3ETQhR1PFCj3ndDlYf,The Trinity,2005-09-26,0.95,0.803,1,-4.195,1,0.151,0.145,0.0,0.0748,0.86,117.0,213066,4,"['dance pop', 'dancehall', 'pop', 'pop rap']"
Blue October,Hate Me,2006,6t6aBQ1OKqyK9c1nPJEWeX,Foiled,2006-01-01,0.449,0.691,4,-5.65,0,0.0349,0.477,0.0,0.0966,0.201,93.267,380200,4,['san marcos tx indie']
Lifehouse,You And Me,2006,2hOY4rDu51XSBvtwfWgSmz,Lifehouse,2005-03-22,0.459,0.427,7,-7.734,1,0.0267,0.114,0.0,0.168,0.354,139.902,195493,3,"['neo mellow', 'pop rock', 'post-grunge']"
The Pussycat Dolls Featuring will.i.am,Beep,2006,5iZmfzUj3rizqYgsXKIlrU,Drew's Famous # 1 Karaoke Hits: Sing like The Pussycat Dolls & Nicole Scherzinger,2011-03-29,0.912,0.492,7,-7.439,0,0.0538,0.00272,0.000168,0.108,0.59,103.611,250587,4,"['dance pop', 'pop']"
"Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow",I Think They Like Me,2006,0e0ks1xlvQBOsC3Gsw2EgA,On Top Of Our Game,2006-01-01,0.886,0.62,5,-5.854,1,0.307,0.082,0.0,0.1,0.6,76.035,229813,4,[]
Chris Brown,Say Goodbye,2006,49gaz5rhWWgqCw61M9700v,Chris Brown (Expanded Edition),2005,0.8,0.502,1,-6.062,1,0.0371,0.00167,0.0,0.0784,0.388,115.091,289760,4,"['r&b', 'rap']"
John Mayer,Waiting On The World To Change,2006,1Xsprdt1q9rOzTic7b9zYM,Continuum,2006-09-11,0.578,0.756,2,-5.82,1,0.115,0.157,0.000232,0.249,0.663,176.739,201173,4,"['neo mellow', 'singer-songwriter']"
Young Jeezy Featuring Akon,Soul Survivor,2006,6hiOeC9YErltT6CnK4pfJN,Let's Get It: Thug Motivation 101,2005,0.682,0.483,10,-7.718,1,0.0451,0.00103,0.0,0.159,0.108,84.012,280013,4,"['atl hip hop', 'crunk', 'dirty south rap', 'gangster rap', 'old school atlanta hip hop', 'rap', 'southern hip hop', 'trap']"
The Black Eyed Peas,Pump It,2006,2szeSQtOcJgRhDXmTS3SIf,Monkey Business,2005-01-01,0.649,0.931,1,-3.15,0,0.181,0.0093,0.0,0.751,0.744,153.645,213067,4,"['dance pop', 'pop', 'pop rap']"
Eminem,When I'm Gone,2006,5x3ZoZjexntAoipx0KaDnf,When I'm Gone,2005-12-06,0.608,0.745,10,-5.496,0,0.365,0.0551,0.0,0.27,0.725,150.068,281120,4,"['detroit hip hop', 'hip hop', 'rap']"
Madonna,Hung Up,2006,1hg0pQJLE9dzfT1kgZtDPr,Confessions on a Dance Floor,2005-11-11,0.649,0.647,9,-7.695,0,0.0452,0.0039,0.161,0.0686,0.405,125.02,337733,4,"['dance pop', 'pop']"
Three 6 Mafia Featuring Young Buck & Eightball & MJG,Stay Fly,2006,0kTLdP4XPeJGsbr2L8ikyF,Most Known Unknown (Explicit),2005-09-27,0.789,0.881,11,-5.758,1,0.0331,0.109,0.0,0.355,0.647,133.299,236600,4,"['crunk', 'dirty south rap', 'gangster rap', 'memphis hip hop', 'southern hip hop', 'tennessee hip hop', 'trap']"
Keyshia Cole,Love,2006,4zEAsP0RIfbGARdtsgAaUV,The Way It Is,2005-01-01,0.688,0.519,5,-4.285,1,0.0283,0.064,0.0,0.1,0.318,116.714,255333,4,"['hip pop', 'r&b', 'urban contemporary']"
Ne-Yo,When You're Mad,2006,6gkwOLmk0ALMOjWs5WhAEr,In My Own Words,2006-01-01,0.66,0.548,6,-7.127,1,0.215,0.364,0.0,0.108,0.436,86.947,222000,4,"['dance pop', 'pop', 'r&b', 'urban contemporary']"
T.I.,Why You Wanna,2006,2X7s6Gt8Xz2qEwlw4GVcQo,King,2006-03-26,0.802,0.772,1,-4.893,0,0.192,0.358,0.0,0.0603,0.654,96.046,215000,4,"['atl hip hop', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
P!nk,Stupid Girls,2006,5rK6h49Qd6gSxxbQGMrWfq,I'm Not Dead,2006-04-04,0.683,0.886,4,-5.045,0,0.071,0.000738,0.00188,0.0524,0.566,100.04,197173,4,"['dance pop', 'pop']"
Gorillaz,Feel Good Inc,2006,0bUTHlWbkSQysoM3VsWldT,Demon Days,2005-05-23,0.818,0.705,6,-6.679,1,0.177,0.00836,0.00233,0.613,0.772,138.559,222640,4,"['alternative hip hop', 'modern rock', 'rock']"
T-Pain,I'm Sprung,2006,21dqbZplVbX1gMMdqOLvWI,Rappa Ternt Sanga (Expanded Edition),2005-12-06,0.728,0.327,0,-11.596,0,0.0999,0.0948,0.0,0.103,0.195,100.0,231040,4,"['dance pop', 'gangster rap', 'hip hop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap', 'urban contemporary']"
Taylor Hicks,Do I Make You Proud,2006,4026u2G1eNjPTkctkj8GtX,Do I Make You Proud/Takin' It To The Streets,2006-06-13,0.463,0.524,1,-8.207,1,0.0316,0.026,0.0,0.102,0.308,144.055,248693,4,['idol']
